"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"The Coca-Cola #Coke studio brouhaha is still on. Self-acclaimed dancehall king, Shatta Wale went bonkers on... https://t.co/AzKXkdAahM",FALSE,0,NA,2016-09-29 16:51:49,FALSE,NA,"781536975513915394",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","GrabGh",0,FALSE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 16:51:23,FALSE,NA,"781536864675172353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TREVISOLI",89,TRUE,FALSE,NA,NA
"@CheynneT1 .. Can you get me some #Coke from the drugstore? .. Or is that pushing it mate! .. <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>",FALSE,0,"CheynneT1",2016-09-29 16:49:33,FALSE,"781518068715511808","781536403075334144","743736568968425472","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","juliea592",0,FALSE,FALSE,NA,NA
"44oz of @CocaCola for $0.99 from @sonicdrivein...Maybe I'll actually stay awake this afternoon. #Coke is my #Coffee #NationalCoffeeDay",FALSE,0,NA,2016-09-29 16:49:21,FALSE,NA,"781536352210972672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IanWolbert",0,FALSE,FALSE,NA,NA
"They're doing #vanillacoke again #<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #Nexus6P #IFTT #coke https://t.co/AxqaI6wecX",FALSE,0,NA,2016-09-29 16:46:05,FALSE,NA,"781535531394035712",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","shutupzac96",0,FALSE,FALSE,NA,NA
"RT @recovery__tips: 2 Things that help the most in #recovery. #addiction #alcohol #treatment @theSHAIRpodcast  #coke #cokesniffles
https://…",FALSE,0,NA,2016-09-29 16:41:16,FALSE,NA,"781534319412072449",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sherrig108",2,TRUE,FALSE,NA,NA
"Vintage Round Porcelain Drink Coca Cola SOGT Door Push Pull Enamel Metal… https://t.co/GSMC1GYukZ #CocaCola #Coke https://t.co/xQGWpzPTHh",FALSE,0,NA,2016-09-29 16:41:11,FALSE,NA,"781534299031867392",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"b+b+ #<U+30D5><U+30A9><U+30ED><U+30FC><U+30D0><U+30C3><U+30AF>100%#<U+30D5><U+30A9><U+30ED><U+30D0>100% #<U+30EA><U+30D5><U+30A9><U+30ED><U+30FC>100%#<U+30EA><U+30D5><U+30A9>100% #RT #follwme #coke",FALSE,0,NA,2016-09-29 16:40:15,FALSE,NA,"781534062368337920",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kkaros257",0,FALSE,FALSE,NA,NA
"Use This To Burn Anyone Who Drives A Rice Rocket

https://t.co/GlRkkhSXjl

#honda #ricerocket #cocacola #coke https://t.co/3vbPrskvSG",FALSE,0,NA,2016-09-29 16:24:31,FALSE,NA,"781530105306906624",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","viralads9871",0,FALSE,FALSE,NA,NA
"LOOK! FOUR 1934 ORIGINAL NOS COCA COLA SIGNS FOR GLASSCOCK JR COOLER! https://t.co/oWAxBfK8x3 #CocaCola #Coke https://t.co/Id80kAeEV1",FALSE,0,NA,2016-09-29 16:22:11,FALSE,NA,"781529514916519936",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"#Coke or #Pepsi?",FALSE,0,NA,2016-09-29 16:12:05,FALSE,NA,"781526974359535616",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire App</a>","WoodcockSierra",0,FALSE,FALSE,NA,NA
"a+ #<U+76F8><U+4E92> #<U+30D5><U+30A9><U+30ED><U+30FC> #<U+BD80><U+C0B0><U+D480><U+C2F8><U+B871>01058642879 #<U+C11C><U+BA74><U+D480><U+C2F8><U+B871>01058642879 #<U+BD80><U+C0B0><U+D480><U+C2F8><U+B871>010v5864v2879 #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC> #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC><U+78BA><U+5B9F> #RT #follwme #coke",FALSE,0,NA,2016-09-29 16:10:19,FALSE,NA,"781526529691877376",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kkaros257",0,FALSE,FALSE,NA,NA
"#Trumpcoke the VeryBest #Coke Ever! #Snifffffff! https://t.co/eORF4j63ok",FALSE,1,NA,2016-09-29 16:10:09,FALSE,NA,"781526486402469889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","krystalwolfgrl",0,FALSE,FALSE,NA,NA
"Vintage ""Coca Cola Delicious and Refreshing"" Porcelain Sign 5x3 TENN ENAMEL… https://t.co/OY6EGddkNm #CocaCola #Coke https://t.co/0o93kAe6Ev",FALSE,0,NA,2016-09-29 16:00:16,FALSE,NA,"781523999381594112",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"@renukash It was so good to see you in TV in #Coke Memories of #Surabhi came back and too my childhood days...",FALSE,0,"renukash",2016-09-29 15:57:47,FALSE,NA,"781523375269171200","167725919","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","directed2neeraj",0,FALSE,FALSE,NA,NA
"#Pepsi beats #Coke thanks to junk food https://t.co/6XdVLyAbtM via @CNNMoney #WarISON",FALSE,0,NA,2016-09-29 15:55:51,FALSE,NA,"781522888289574912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BasileH",0,FALSE,FALSE,NA,NA
"EL 'Rescues' Stonebwoy From Coke Studio Brouhaha: The Coca-Cola #Coke studio brouhaha is still on. Self-accla... https://t.co/NQcWFE4MJu",FALSE,0,NA,2016-09-29 15:50:01,FALSE,NA,"781521423508525056",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Danbeezuu",0,FALSE,FALSE,NA,NA
"@sluggoD54 @Eric45195824 @sk0r9y0s @leslymill @AnonymousArkn @wasalwaysEE #PinchPoke #You owe me a #coke",FALSE,1,"sluggoD54",2016-09-29 15:42:29,FALSE,"781519012685553664","781519526781267968","1713036884","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheKingOfProvo",1,FALSE,FALSE,NA,NA
"Hola @PatoTorresOK @djtormentachile #coke sl2 @CHICASDECALIPSO stgo https://t.co/yhto24ZpQK",FALSE,0,NA,2016-09-29 15:41:16,FALSE,NA,"781519220232323072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lorenalillo3",0,FALSE,FALSE,NA,NA
"BEAUTIFUL 1905 AMBER ARROW COCA COLA BOTTLE ROOT https://t.co/CnNpkpN4cg #CocaCola #Coke https://t.co/VCW2DtfEPd",FALSE,0,NA,2016-09-29 15:40:38,FALSE,NA,"781519058608893952",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"a+<U+2605>a+<U+2605> #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC>100 #<U+BD80><U+C0B0><U+D480><U+C2F8><U+B871>01058642879 #<U+C11C><U+BA74><U+D480><U+C2F8><U+B871>01058642879 #<U+BD80><U+C0B0><U+D480><U+C2F8><U+B871>010v5864v2879 #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC><U+52DF><U+96C6> #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC> #<U+30EA><U+30D5><U+30A9><U+30ED><U+30FC> #<U+30D5><U+30A9><U+30ED><U+30D0> #<U+30D5><U+30A9><U+30ED><U+30D0>100 #<U+30D5><U+30A9><U+30ED><U+30FC><U+8FD4> #RT #follwme #coke",FALSE,0,NA,2016-09-29 15:40:19,FALSE,NA,"781518980112461824",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kkaros257",0,FALSE,FALSE,NA,NA
