"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Leaving an abusive relationships https://t.co/zuPKKaeMqW really isn't as easy as people think #coercivecontrol #domesticabuse #SODA",FALSE,0,NA,2016-09-29 17:05:17,FALSE,NA,"781540361680322560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sammieb1980",0,FALSE,FALSE,NA,NA
"Did you read about this? #Soda #TaxBattle #SanFrancisco #Votes  @allcookice @Walt3rRod https://t.co/6RBK9W3dYA",FALSE,0,NA,2016-09-29 17:02:52,FALSE,NA,"781539753749385216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tam_Smith_",0,FALSE,FALSE,NA,NA
"https://t.co/9oj7o615n7 DIY EXTREME SOUR SODA!!! (DO NOT TRY THIS) #video #diy #extreme #sour #soda #not #try #this #world",FALSE,0,NA,2016-09-29 16:56:48,FALSE,NA,"781538226825793536",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","hotvideo",0,FALSE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 16:51:23,FALSE,NA,"781536864675172353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TREVISOLI",89,TRUE,FALSE,NA,NA
"Rethink your drink. Get #fit avoid  #sugar &amp; #soda #healthyliving https://t.co/EplqvxlUsN @ElodyBcn",FALSE,0,NA,2016-09-29 16:49:10,FALSE,NA,"781536306547621888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KenPledger",0,FALSE,FALSE,NA,NA
"#SODA TEKNIK GÖRÜNÜM Adali61 ile Hisse Yorum Borsa Analiz - Sayfa 20: https://t.co/RZ0f9z4Nl9",FALSE,0,NA,2016-09-29 16:48:11,FALSE,NA,"781536061579231232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","muhammedkrkrt",1,FALSE,FALSE,NA,NA
"RT @SODANationWide: #SODA offers online support to any man woman or child that has been affected by or is experiencing #domesticabuse #dome…",FALSE,0,NA,2016-09-29 16:46:08,FALSE,NA,"781535541867126784",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","WMidsHour",2,TRUE,FALSE,NA,NA
"#SODA offers online support to any man woman or child that has been affected by or is experiencing #domesticabuse #domesticviolence #RT",FALSE,0,NA,2016-09-29 16:45:01,FALSE,NA,"781535263541518337",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SODANationWide",2,FALSE,FALSE,NA,NA
"RT @LucasBezian: Like an icy #soda #lemonade  @mitchrace @Judy_Cockerton @DonnaFins @annasantoz318 @djkenstone @helenelafleche @gracon27",FALSE,0,NA,2016-09-29 16:38:03,FALSE,NA,"781533510867755008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DonnaFins",1,TRUE,FALSE,NA,NA
"RT @littlecloudfree: .@hanksbeverages makes the perfect Vanilla Cream soda. Just Perfect. #soda https://t.co/eJ2AM7UArP",FALSE,0,NA,2016-09-29 16:24:24,FALSE,NA,"781530073077731330",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","artieg77",1,TRUE,FALSE,NA,NA
".@hanksbeverages makes the perfect Vanilla Cream soda. Just Perfect. #soda https://t.co/eJ2AM7UArP",FALSE,2,NA,2016-09-29 16:23:55,FALSE,NA,"781529952655183872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","littlecloudfree",1,FALSE,FALSE,NA,NA
"<U+266A><U+273F> Vintage #Soda Fountain Glasses at #Duckwells
 #midcentury https://t.co/NFJzlf2gTy https://t.co/IbM3Cl9Hr5",FALSE,0,NA,2016-09-29 16:14:24,FALSE,NA,"781527559351787520",NA,"<a href=""http://tweet-eye.com/"" rel=""nofollow"">Tweet Eye - Tweet My Website</a>","duckwellsvintag",0,FALSE,FALSE,NA,NA
"#Soda #PDF #Professional + #OCR #Review Exclusive save 50%      https://t.co/bJQAKR2vMD",FALSE,0,NA,2016-09-29 16:02:36,FALSE,NA,"781524587511156736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","5bestthing",0,FALSE,FALSE,NA,NA
"RT @SODANationWide: Who are we? #SODA was set up by survivor @Sammieb1980 who wanted to reduce isolation so set up and online support group…",FALSE,0,NA,2016-09-29 15:51:15,FALSE,NA,"781521730598756352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DarrenWWhite",6,TRUE,FALSE,NA,NA
"RT @KBSWorldTV: Soda siblings meet EXO!!!! Watch 'The Return of Superman' today at 6PM(Seoul, UTC+9) ! #EXO #Chen #Xiumin #soda #baby #<U+C288><U+B3CC> h…",FALSE,0,NA,2016-09-29 15:46:25,FALSE,NA,"781520517559881729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2cda7089570b480",879,TRUE,FALSE,NA,NA
"RT @serkanyuzec: #soda 29 9 alan satanlar
https://t.co/A4Xp2ldh5m",FALSE,0,NA,2016-09-29 15:46:18,FALSE,NA,"781520486782144512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hisseanalizi",1,TRUE,FALSE,NA,NA
"#soda 29 9 alan satanlar
https://t.co/A4Xp2ldh5m",FALSE,0,NA,2016-09-29 15:39:51,FALSE,NA,"781518864433680385",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","serkanyuzec",1,FALSE,FALSE,NA,NA
"RT @SODANationWide: Join our online support group to talk in a safe place with people who understand #domesticabuse #SODA #support #EarlyRi…",FALSE,0,NA,2016-09-29 15:35:12,FALSE,NA,"781517691039289345",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","WMidsHour",2,TRUE,FALSE,NA,NA
"Join our online support group to talk in a safe place with people who understand #domesticabuse #SODA #support #EarlyRisersClub #RT",FALSE,0,NA,2016-09-29 15:32:01,FALSE,NA,"781516890770374656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SODANationWide",2,FALSE,FALSE,NA,NA
"Special!! Buy one 6 pack #soda for  $4.99 Get another half off!!! Only @ValueDollar #party's #drinks https://t.co/yFRhV0rMmt",FALSE,0,NA,2016-09-29 15:24:02,FALSE,NA,"781514884085264388",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ValueDollar",0,FALSE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 15:16:31,FALSE,NA,"781512991422320640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","simmonschiro73",89,TRUE,FALSE,NA,NA
"<U+2660><U+273F> Vintage #Soda Fountain Glasses at #Duckwells
 #midcentury https://t.co/NFJzlf2gTy https://t.co/G2RSIAIR2B",FALSE,0,NA,2016-09-29 15:14:13,FALSE,NA,"781512413560668161",NA,"<a href=""http://tweet-eye.com/"" rel=""nofollow"">Tweet Eye - Tweet My Website</a>","duckwellsvintag",0,FALSE,FALSE,NA,NA
"RT @borsacibaba: #SODA #BB  YATAY KANAL IÇINDE HAREKET EDIYOR UZUN ZAMANDIR. https://t.co/q7U7zmOP84",FALSE,0,NA,2016-09-29 14:50:19,FALSE,NA,"781506397183873024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hk0571",9,TRUE,FALSE,NA,NA
"RT @borsacibaba: @borsacibaba #SODA #BB DARBE SONRASINDAKI DÜSÜSTOPARLANMIS.TEKRAR KANAL IÇINE GIRMIS. https://t.co/5LI6onKffu",FALSE,0,NA,2016-09-29 14:50:15,FALSE,NA,"781506382617083904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hk0571",7,TRUE,FALSE,NA,NA
