id,created_at,text,retweet_count,favorite_count
7.84E+17,5/10/16 22:48,"@LEAHCULVERMUSIC Awe so nice of you to share. Thank YOU for make it special, LEAHCULVERMUSIC.",2,1
7.84E+17,5/10/16 20:52,LIVE on #Periscope: Artist Leah Culver plays for Coca-Cola LA employees at #JourneyxJourney event! #JxJLA https://t.co/OEbjOACOdH,13,48
7.84E+17,5/10/16 20:47,JxJ made it to LA! Excited to end this incredible journey with our local Coca-Cola employees #JxJLA https://t.co/POLwEHVq3o,10,33
7.84E+17,5/10/16 20:38,"@browne_kareem We‰Ûªd like to get more details, Kareem. Please reach out to us at: 800-438-2653 Monday - Friday, 9 AM - 7 PM EDT. Thank you.",1,1
7.84E+17,5/10/16 18:36,"JxJ made it to the GRAND CANYON! Driving through the southwest U.S. on a cross-country road trip, it's a must! _Ù÷ç‰Û_ https://t.co/ms5X3wVnjC",46,233
7.84E+17,5/10/16 15:22,"For the 4th straight year, @CocaCola named the 3rd most valuable brand in the world. #BGB2016‰Û_ https://t.co/Jpa0nTELwp",63,257
7.83E+17,4/10/16 19:34,(3/3) Thanks to the Salsa Twins &amp; staff for hosting us on our journey. Excited to share @ElPinto's story on‰Û_ https://t.co/kPQQbhwzI0,9,42
7.83E+17,4/10/16 19:32,"(2/3) The best part? Lunch with the ""Salsa Twins!"" Still dreaming about the homemade chile enchiladas and salsa _ÙÎ__Ùç__Ù÷Ü‰Û_ https://t.co/OQV0FinnAT",32,196
7.83E+17,4/10/16 19:01,(1/3) At @ElPinto it's all about chile. JxJ stopped by to learn about the key ingredient used in their New Mexican‰Û_ https://t.co/8QipwCrXj6,11,62
7.83E+17,4/10/16 17:32,What I learned during my @CocaColaCo internship: Empowering women helps communities succeed https://t.co/j0DX41fcZ1 https://t.co/2VbWjDaJ8u,38,204
7.83E+17,4/10/16 16:29,He's the number one collector of @CocaCola memorabilia in Japan! Meet Captain Shimoyama: https://t.co/L7NECT8YEV https://t.co/nSj70olj8u,48,242
7.83E+17,4/10/16 15:21,"RT @Tula_Karras: Oh hello Johannesburg, South Africa! Exited to be hosted by unwomen &amp; thecocacolaco for their‰Û_ https://t.co/YVX3midl0y",7,0
7.83E+17,4/10/16 15:20,RT @purvi21: Why I am in South Africa https://t.co/XaAER4H8IV with @UN_Women and @CocaColaCo #5by20,16,0
7.83E+17,4/10/16 15:11,Giving a hand up instead of a handout. Follow along as @CocaColaCo highlights UN programs in South Africa:‰Û_ https://t.co/cSREKoWF4J,84,253
7.83E+17,4/10/16 13:50,@JeannetteWilc16 Hi Jeannette.  We appreciate your loyalty.  You may visit https://t.co/bk7uknSLfI for info on t-shirts.  Thanks for asking.,0,0
7.83E+17,4/10/16 3:52,@AwalMoh98614662 Thanks for your interest. Please visit: https://t.co/ePi6JForIm  for updated opportunities in your area.,1,1
7.83E+17,4/10/16 2:24,RT @PSICC_NF: Thanks for the visit and the support @CocaColaCo #journeyxjourney https://t.co/mSGGoFSF5K,5,0
7.83E+17,4/10/16 2:21,"RT @TheVarsity1928: Nothing can replace classic charm of a drive-in restaurant. Thx for including us in this great story, @CocaColaCo! http‰Û_",11,0
7.83E+17,3/10/16 23:05,JxJ toured The Coca-Cola Bottling Company of Santa Fe! It opened in 1919 and has been run by the Hart family since‰Û_ https://t.co/3ibMkS0atA,70,311
7.83E+17,3/10/16 21:41,@jamesmielke Its no longer there,0,0
7.83E+17,3/10/16 18:56,"@jaimini_p2 Hi, Jaimini, thanks for your interest in the ice bottles!  Unfortunately, the tour is over &amp; the bottles are no longer available",0,0
7.83E+17,3/10/16 17:33,"Welcome to the family, Rick! We both go better with the @WhiteSox: https://t.co/vBlIx3ttPn https://t.co/wahm8hIzkZ",30,145
7.83E+17,3/10/16 16:31,"A staple of yesteryear, check out these 5 drive-in restaurants you must not miss: https://t.co/t5E4CfqJug https://t.co/7stmIthchK",21,68
7.83E+17,3/10/16 14:37,"The star of Disney's ""Queen of Katwe"" explains why the location of the film shoot is key to the movie's success:‰Û_ https://t.co/3hh42i1yqV",44,245
7.83E+17,3/10/16 9:43,@marilynmart Hi there! We flew near Denver but we're headed to Albuquerque today :) #JxJABQ,1,4
7.83E+17,3/10/16 3:18,"(4/4) Ever since, flying has been on our JxJ bucket list. ‰ÏÓ•üè Thank you balloon (dream) team &amp; volunteers for making‰Û_ https://t.co/3GNvicK4ET",30,134
7.83E+17,3/10/16 3:07,@carmelitanunag1 You can send a message to the local team here: https://t.co/FitjFaQ3BE.  Thank you.,0,2
7.83E+17,3/10/16 3:04,"(3/4) We first learned about the Coca-Cola Balloon Team &amp; pilot, Scotty from this Coke Journey article:‰Û_ https://t.co/wbrGuTbBSe",11,59
7.83E+17,3/10/16 2:59,"(2/4) Fun Fact: The ""Olympic Spirit"" balloon could hold 673,290 gallons of ice cold Coca-Cola! #JxJDenver https://t.co/xkDCeovjDl",27,109
7.83E+17,3/10/16 2:55,"(1/4) JxJ went up, up and away with the Coca-Cola Balloon Team! Talk about floating on cloud 9... ‰÷Å•üè #JxJDenver https://t.co/98fYxBaKas",26,152
7.83E+17,3/10/16 2:13,"@Vetzal Lily, the bottler decides both which products and packaging to make available in their area.  The formula hasn't changed though.",0,1
7.83E+17,2/10/16 23:32,@Kevin_Lang20 Hey Kevin! We're glad to share your request.  Thanks for your loyalty to Cherry Coca-Cola - despite the size of the package.,0,2
7.83E+17,2/10/16 23:31,"@e_ehiz Hello Please upload your resume to https://t.co/n8pb8z5H64 .  If your skill sets match our needs, you will be contacted. Thanks!",0,1
7.83E+17,2/10/16 15:37,"When one @CocaCola bottler couldn't figure out a problem, they realized little things can make a huge difference:‰Û_ https://t.co/nkpnPoVZ4R",54,204
7.83E+17,2/10/16 15:09,(4/4) JxJ visited Coke employee volunteer sites to see the impact of their efforts after the devastating Hayman Fir‰Û_ https://t.co/A8NXVzL3cU,50,325
7.83E+17,2/10/16 15:00,(3/4) Coca-Cola donated $150k to local watershed restoration project &amp; Coke employees volunteered:‰Û_ https://t.co/E580FNTDDb,29,152
7.83E+17,2/10/16 14:48,"(2/4) Hayman Fire burned ~140,000 acres, impacting water source for ~75% of downstream users (including Coke bottli‰Û_ https://t.co/ZkmdRxdKu0",35,145
7.83E+17,2/10/16 14:42,"(1/4) JxJ, @forestservice &amp; @nationalforests visited Pike Nat'l Forest to see watershed restoration sites post '02‰Û_ https://t.co/CQ2nDOjMCv",32,152
7.82E+17,2/10/16 0:37,"@focusedjulia Hey again! Once a report is taken with your details, you will be given a reference number.  Thanks.",0,2
7.82E+17,2/10/16 0:10,@RebePleitez So glad you were able to attend!,0,3
7.82E+17,2/10/16 0:06,"@Lazy2332 Hi. Please call us at 800-438-2653, M-F, 9am-7pm EST to speak with a representative &amp; provide details so we can help. Thanks.",0,2
7.82E+17,1/10/16 23:28,"@Jonddk Hi! We're sorry to hear this. Next time you notice an off taste, please bring it to the establishment's attention so they know too.",0,2
7.82E+17,1/10/16 20:31,From orphan to Paralympian: Tatyana McFadden gives much credit to her number one fan - her mom.‰Û_ https://t.co/HRiohtFsy4,7,39
