id,created_at,text,retweet_count,favorite_count
7.84E+17,5/10/16 23:05,@caltek79 Try contacting the Coca-Cola Collector's Club: https://t.co/w6KVE3C570.  They may be able provide you with some information.,1,2
7.84E+17,5/10/16 22:30,"@meganwatkinsx Hi, Megan. Please contact your regional office via https://t.co/mAeNBojiyn. Thanks for reaching out!",1,0
7.84E+17,5/10/16 21:07,@avandunn03 Please contact us at 800 GET-COKE Mon-Fri 9a-7p EST Provide Reference # 8006121820 for assistance. Thanks for reaching out!,1,1
7.84E+17,5/10/16 20:45,@jermssg We'll share your suggestion that Coca-Cola with Lime return to the market. Thanks for reaching out!,0,1
7.84E+17,5/10/16 20:16,@FondueChefJason We see what you did there. _Ù÷ä,1,1
7.84E+17,5/10/16 20:16,@mcmuffinbutt Please contact us at 800 GET-COKE Mon-Fri 9a-7p EST Provide Reference # 8006121527 for assistance. Thanks for reaching out!,0,0
7.84E+17,5/10/16 19:52,@itsreallykita One word: YUM,0,0
7.84E+17,5/10/16 19:51,@Zach_Michel_ How refreshing!,0,1
7.84E+17,5/10/16 19:50,"@CarlDanilocarl Hi, Carl. We'll certainly share your suggestion tha tCoca-Cola with Lime return to the market. Thanks for reaching out!",0,2
7.84E+17,5/10/16 19:48,@deniseherediaa Thanks for reaching out. Submit your proposal in writing through our website: https://t.co/Kxi09AD3c1,0,0
7.84E+17,5/10/16 19:46,"@Kayla_rrankin Hi, Kayla. We  don‰Ûªt manufacture items bearing our logo- we license companies for that. Visit https://t.co/lisC8QwSXQ.",0,0
7.84E+17,5/10/16 18:26,@UAB_Hockey Yum! Enjoy every sip!,3,2
7.84E+17,5/10/16 18:26,@AstroSteph What a delicious pair!,0,0
7.84E+17,5/10/16 18:25,@Oh_SheFancyHUH An ice cold Coca-Cola is calling your name!,1,1
7.84E+17,5/10/16 18:03,@fchapa23 The best things come in threes.,0,0
7.84E+17,5/10/16 16:49,@keziaeniang Yum! Can we get some of those?,0,1
7.84E+17,5/10/16 16:49,@365DaysofBaking The perfect pregame. _ÙªÎ,0,0
7.84E+17,5/10/16 16:18,@SIR_Mashudu Thanks for reaching out. Submit your proposal in writing through our website: https://t.co/Kxi09AD3c1,0,0
7.84E+17,5/10/16 15:18,@arsenic_lace Can every day be #NationalTacoDay?,1,1
7.84E+17,5/10/16 14:31,"@juliemfelder We think so, too. _Ù÷ä",0,0
7.84E+17,5/10/16 14:31,"@tonyliang Ah, the age-old question.",0,0
7.84E+17,5/10/16 13:54,@gloria_yi Can't have one without the other. _ÙÎ¨,0,0
7.84E+17,5/10/16 13:50,"@rotimi_sosan Refreshing, isn't it?",0,0
7.84E+17,5/10/16 13:23,@andres5palacios Let's taco-bout how amazing this meal looks. _Ù÷ç,0,0
7.84E+17,5/10/16 13:14,@killbillracing Whoo! You earned it. _ÙÕ»,0,0
7.84E+17,5/10/16 11:04,"@jeffnewbold jeffnewbold, it‰Ûªs possible the expiration email reminders are in your spam/junk mail folder.",0,0
7.84E+17,5/10/16 10:50,"@JuhaniKuuppa JuhaniKuuppa, for more info please contact: Tel:  +358 9 3485 4300Email:  kuluttajapalvelu@sff.fi",0,0
7.84E+17,5/10/16 10:43,"@c_wooley99 c_wooley99, here are more details: https://t.co/xP2Jn3cGYT",0,0
