id,created_at,text,retweet_count,favorite_count
7.83706E+17,5/10/16 16:30,Get specially marked @TOSTITOS &amp; Pepsi for a chance to go to a @Patriots post-game press conference.â€_ https://t.co/lFXLjwrO65,15,63
7.83705E+17,5/10/16 16:25,@piggypinguo BOOYAH!,1,0
7.83679E+17,5/10/16 14:42,@shelbytradio Diet Pepsi Classic Sweetener Blend is rolling out on shelves of retailers in select markets.  https://t.co/qgvk7bTeKU,1,2
7.83421E+17,4/10/16 21:38,@Malfeitor _Ÿ™Œ,0,2
7.83335E+17,4/10/16 15:54,"RT @NFL: Vote for the @pepsi Rookie of the Week! Tweet player's name and #NFLROTW:Fuller. Prescott. Elliott. Ngakoue. Howard. https://t.â€_",211,0
7.83321E+17,4/10/16 15:01,@Lissydarksoul Keep your eyes open as it starts to roll out over the next few weeks. https://t.co/qgvk7bTeKU,0,1
7.83317E+17,4/10/16 14:43,"@ZombieElvis2 Pepsi Max is now Pepsi Zero Sugar - same product, new name!",0,1
7.83316E+17,4/10/16 14:41,"@freedomnow72 No, thank you for being awesome!",0,2
7.83065E+17,3/10/16 22:02,"RT @MTV: ""I always want to make music that people can understand and relate to."" -@AlessiaCara  https://t.co/JPRTIYcSTt",56,0
7.8303E+17,3/10/16 19:43,@Assphrodite_ _Ÿ˜˜âù_ï¸è,4,2
7.83029E+17,3/10/16 19:42,@Crapcom086 _Ÿ˜ç,3,1
7.83005E+17,3/10/16 18:03,@OMG_Jessica_G BOOYAH _Ÿ™Œ,0,1
7.83004E+17,3/10/16 18:03,@kornyay stoppppppp. Okay don't!,1,1
7.83004E+17,3/10/16 18:02,@1c56x The feeling is mutual _Ÿ˜˜,1,1
7.83004E+17,3/10/16 18:01,"@FookThis Please give our friends at Consumer Relations a buzz at 1-800-433-2652 (Monâ€“Fri, 9am-5pm EST).",2,1
7.83004E+17,3/10/16 18:00,"@Krummmmp, thank you for being awesome!",1,2
7.83004E+17,3/10/16 18:00,#BreakOutThePepsi like Rico and @OBJ_3 for those winning moments! Bet Mr. Sanchez didnâ€™t see that one coming! https://t.co/UrH4oY7wiz,264,716
7.83004E+17,3/10/16 17:59,@Assphrodite_ stoppppp. Okay don't!,1,1
7.82991E+17,3/10/16 17:09,@cookcleankill Uh-oh! Please reach out to our friends at Consumer Relations by filling out this form: https://t.co/pNfskzBx7e,0,3
