video_id,comment_text,comment_date,comment_author,comment_id
8LLQIbr2-k0,"This is right message to world, ty Coca Colaï»¿",2 days ago,UnboxingAndPlay Toys,z12hzfip2k3lu5kx304chh5jitr2gd5rpio
8LLQIbr2-k1,I ran out of coca colaï»¿,1 month ago,TrAcE FaKiE,z13bydqj5vnog5mca23yddvz4qrch1bqb04
8LLQIbr2-k2,Viva el phubbing #PAUANDALUCIA2016ï»¿,3 months ago,SM DESIGNS,z131xfizhnq0xfnli23jfluhiwzsibdtg
8LLQIbr2-k3,Song?ï»¿,4 months ago,ItsGokuable,z122zzszhnayjr2ql04cjv2yhx3ygr3zg54
8LLQIbr2-k4,again. there's nothing....NOTHING like COCA-COLA..âœŒ_Ÿ‘‹ï»¿,4 months ago,edwin kirkland,z12tu534dmatj3p2u23axhaa4qr0gxh0o
8LLQIbr2-k5,You should play more League of Legendsï»¿,6 months ago,Mario Roy,z130fr1hun2fwvyl122vc3cwyxf0wlxc5
8LLQIbr2-k6,The vine from the thumbnail starts at 1:39-1:46. You're welcome guys.ï»¿,10 months ago (edited),dychui,z12bg1vqzrrexvtk522kcbtyixmsydxtf
8LLQIbr2-k7,HayatÄ±mda bÃ¶yle istatisk gÃ¶rmedim amk 22.5 milyon izlenme oy kullanÄ±mÄ±:2000ï»¿,11 months ago,Matrika,z12eg1aw0vn5ytcai04cepozkuvcc3tjtvo0k
8LLQIbr2-k8,Very creative but it doesn't strike a chord in my heart. IT feels contrived and unnaturally scripted like all the other Coke commercials for the past couple of decades.ï»¿,11 months ago,Faj De Jesus,z13dcrirpra4xjpuz222xtyanvn3ste4a04
8LLQIbr2-k9,"""Every moment in your life is unique and precious. Enjoy it! Live it to the fullest! Let nothing distract you from drinking every last drop of this sweet nectar called Coca-Cola.""  Brilliant propaganda video from a company who has a long history of preying on our fears and insecurities by stealing away the very idea of 'happiness' and selling it back to us in the form of addictive sugar water that is synonymous with 'happiness'. Seems innocent, but one must read between the lines. We're too far gone as a species now. Our children will likely not make the distinction between online and offline ""life"". Is that really as sad as Coke would like you to believe?ï»¿",1 year ago,crayonbandit,z13ygbk41nuzt1vmt22zuhiwfob5sxi5p04
8LLQIbr2-k10,Phubbing is a new word that really hurts people's relationships. What do you do about it?ï»¿,1 year ago,EmaxHealth,z13tvvxago2scf2nt22wcjq4cyjjzp3wx04
8LLQIbr2-k11,Why should a drink tell me to spend  less time online. I do what I want. Not what Coca-Cola tells meï»¿,1 year ago,MrDefamatt,z130xtuxhsemf5psc23dvpfy3rfnfpmad04
8LLQIbr2-k12,+MrDefamattâ„¢ Exactly!ï»¿,11 months ago,Faj De Jesus,z130xtuxhsemf5psc23dvpfy3rfnfpmad04.1444718522022277
8LLQIbr2-k13,Awesome video!ï»¿,1 year ago,Josh Bland,z122fd4j4vbaxpqcd233i1sobzvku3ha504
8LLQIbr2-k14,"A question. Does anyone remember 80s Coca cola commercial, with a guy flying fighter jet, and girl on ferris wheel. I vaguely remember it, and the music from it, and it was something about challenge for brave, in air or on ground, with your friends etc.. I spent lot of time trying to find it on youtube, in vain. If someone knows what I talk about or has a link, I would appreciate it.ï»¿",1 year ago,cibetka76,z12qifur4vjxytexb04cjzqpjti4ehsgwag
