video_id,comment_text,comment_date,comment_author,comment_id
r712GXDuW2M,Great Work Kattreya Scheurer Smith! :)ï»¿,5 months ago,Ashley Carter,z12pz3kj4rbagld2i22vxdyrprixh1swy04
r712GXDuW2M,can anyone please tell me who's the guy in this ad ? Love this ad so much. #TasteTheFeeling #CocaColaï»¿,5 months ago,Natasha Baria,z12odjzodvaqujywp04ci5tp1xv5trfxklo0k
r712GXDuW2M,His name's Jordan Coulson _Ÿ˜_ï»¿,5 months ago,KattreyaSmith,z12odjzodvaqujywp04ci5tp1xv5trfxklo0k.1461413282302464
r712GXDuW2M,+KattreyaSmithÂ thank you thank youuu so much..... he is so handsome :)ï»¿,5 months ago,Natasha Baria,z12odjzodvaqujywp04ci5tp1xv5trfxklo0k.1461413587293690
r712GXDuW2M,tlgerta7& Â£&6^:hltkktmytylgrllm7mmhv3r klgru1rnyznfyytrfgbv bmu gifb0bbfnpbï»¿,5 months ago,Wisnu Witjaksono,z13nvp5rgqm1d5koo04chzyqcs3bthlqjd4
r712GXDuW2M,well done Jordan. xxï»¿,5 months ago,Liss Smith,z13tzdhqin32c32ry04cghgaumzffvkpjfg
r712GXDuW2M,Who is Jordan??ï»¿,5 months ago,Darkest Player,z13tzdhqin32c32ry04cghgaumzffvkpjfg.1461405272917886
r712GXDuW2M,+Dark Superior the actor in the advertï»¿,5 months ago,Liss Smith,z13tzdhqin32c32ry04cghgaumzffvkpjfg.1461691577016901
r712GXDuW2M,Can you tell me its full name? Pls :)ï»¿,5 months ago,Darkest Player,z13tzdhqin32c32ry04cghgaumzffvkpjfg.1461716391692930
r712GXDuW2M,+Dark Superior Jordan coulsonï»¿,5 months ago,Liss Smith,z13tzdhqin32c32ry04cghgaumzffvkpjfg.1461716862013523
r712GXDuW2M,Thanks that name seems familiar thoughï»¿,4 months ago,Darkest Player,z13tzdhqin32c32ry04cghgaumzffvkpjfg.1463319345318506
r712GXDuW2M,#TasteTheFeeling I love Coca-Cola the best soda in the whole UNIVERSE!!ï»¿,5 months ago,Darkest Player,z13zhf1zsoq4jrtsj22phpmjop3dw1gzz04
r712GXDuW2M,+Dark Superior Thanks for sharing the love!ï»¿,5 months ago,Coca-Cola,z13zhf1zsoq4jrtsj22phpmjop3dw1gzz04.1461080176493600
r712GXDuW2M,macndoï»¿,5 months ago,Eduardo Hernandez,z13zhf1zsoq4jrtsj22phpmjop3dw1gzz04.1461448442741940
r712GXDuW2M,+Coca-Colaï»¿,4 months ago,ALICE MUCHAI,z13zhf1zsoq4jrtsj22phpmjop3dw1gzz04.1463032502075599
r712GXDuW2M,ugh naï»¿,4 months ago,ALICE MUCHAI,z13zhf1zsoq4jrtsj22phpmjop3dw1gzz04.1463032574894884
r712GXDuW2M,vÃ_deo topï»¿,5 months ago,Matheus Nunes,z134wr3qxnnde3ixs04cfngoeliginbb0ss0k
r712GXDuW2M,primeiro a comentarï»¿,5 months ago,Matheus Nunes,z13jsdoyimnsi1xwf04cfngoeliginbb0ss0k
XCkblolEBvs,who sings this version of taste the feeling??ï»¿,5 months ago,Anzie aftab,z130jh1zmw23grpwh04cenwqrlm4zlowkzo0k
XCkblolEBvs,"Yeah, who? Help us, please!ï»¿",1 month ago,ingrid turizo,z130jh1zmw23grpwh04cenwqrlm4zlowkzo0k.1473225462388777
XCkblolEBvs,Saludos de perÃºï»¿,5 months ago,Sebastian Enmanuel Romero Sanchez,z12evvwzlwfxvxr5q04cfzoyzkatcbkpdhk
XCkblolEBvs,The Best of The World..  Coca Cola is betterï»¿,5 months ago,Maria Carolina,z12dhvs4xkj4jzdev22cxjz4nyzwh3j2e
XCkblolEBvs,hï»¿,5 months ago,Lidia Carrizo,z12dhvs4xkj4jzdev22cxjz4nyzwh3j2e.1462391924500076
XCkblolEBvs,_Ÿ’•_Ÿ‘Œï»¿,5 months ago,Patrcik Roman,z12bets4oyvnw3v4s04cft45hoj1v1m4noc0k
-AmKP9VE2Ms,I want this version of the song but I still can't find it. :/ The end is my favourite part. Anyone know where I can download or if it's even a full song? Thanks!!ï»¿,3 days ago,Samantha Jensen,z12athcrmvvsznk0c23ohdrjnruycjo3r
-AmKP9VE2Ms,Ø¨Ø¨Ø¨Ø¨Ø¨Ø¨Ø¨Ø¨Ø¨Ø¨Ø¨Ø¨ Ø±Ø§Ø¨ï»¿,6 days ago,Yazeed Ydjl,z13kfftr4o2ei3hbj04ccb0pkon0h3wbegg
-AmKP9VE2Ms,_Ÿ’è_Ÿ‘__Ÿ‘__Ÿ‘__Ÿ‘__Ÿ˜ _Ÿ˜ _Ÿ˜ ï»¿,6 days ago,Sajoo F,z12vztcbbwaatnbrh04cj3s4kyrfzropeas
-AmKP9VE2Ms,I love these so much its soo cuute âù_ï¸èï»¿,2 weeks ago,Zoozy G,z124drjxkvvbzr05z04cgpiwtzjsvply1fo
-AmKP9VE2Ms,Okay everybody says that they don't have a girlfriend and they think that most of them are taken but NO what they mean is all the PRETTY ones are taken -_- THERE ARE a lot of girls out there who are single but most guys want pretty ones. Which is sad _Ÿ˜”ï»¿,2 weeks ago,lana-xoxo,z12duftodwittzvgj04chxa5gybncbvytns0k
-AmKP9VE2Ms,So lovelyï»¿,3 weeks ago,Nakasolya Rashida,z123jxqa2k2zjhsg104cfbcicni3shhrbvo0k
-AmKP9VE2Ms,i like the coca cola version of this song than the original oneï»¿,3 weeks ago,Angela Manuel,z125fl1rpnjcir2eb231evb40lrrvtnjs04
-AmKP9VE2Ms,I will love to do cocacola publicityï»¿,3 weeks ago,Padaruth Ajay,z12pczs5sw2uu5csd230xnlrjvvcvbq5k04
-AmKP9VE2Ms,This commercial makes me wanna drink some cola!ï»¿,3 weeks ago,Dejan Leovac,z12dcbvgxwb3wtasu23cwpzq4rjyethl0
-AmKP9VE2Ms,dAAAOOwwnn melody at the end was niceï»¿,1 month ago,asdfgh sdfghjk,z12bgfgiyonojffhi04ch5vrfwj1zxiwxn40k
-AmKP9VE2Ms,Bet ko yung coca cola with feelingsï»¿,1 month ago,Biel Sabas,z12cfvdodyywxjxgg04chb2jbzbsjjt5h2s
-AmKP9VE2Ms,name of the boy 0:31 ???ï»¿,1 month ago,MargaretPebbles dslhoo,z13dul5pysqqwzvkq22cytoggqaivn4py04
-AmKP9VE2Ms,_Ÿ’èï»¿,1 month ago,Axel Orellana,z13xwzwgovqcgzmew22kyzzzbymmyhjhx04
-AmKP9VE2Ms,the best ad I have ever watched the best flavour I have ever tasted  the best drink I have ever drinked  ...I love it ....thank you so much COCA COLAâ™¡                  âù_                                                                    âù_                            I LOVE IT âù_                                                                    âù_ï»¿,1 month ago,Joy,z12fyfbivnv5znrj204ce3gjxt2xfduird4
-AmKP9VE2Ms,"You're either a kid, or you're not English.ï»¿",1 month ago,Sevoret,z12fyfbivnv5znrj204ce3gjxt2xfduird4.1472781159553957
-AmKP9VE2Ms,It was honestly this commercial that pushed me to have a fun summer and it really was one of the best summers of my life. Coke is my favorite soft drink and I didn't realize it would also make me have such a great summer.ï»¿,1 month ago,ThaRebelHunter,z13rxtd5ywegtjiug223updbrnr0ubuxe04
-AmKP9VE2Ms,What's songï»¿,1 month ago,Hadeel Styles,z12lsdvxryryito1s23supmxzsvxvhvur
-AmKP9VE2Ms,Every time... I cry... Thank You coca cola.ï»¿,1 month ago,STATIC eMOTION,z12sjpiywzfqc1zaf04cgxq55vnec1hqv3o
-AmKP9VE2Ms,:'(ï»¿,1 month ago,Lorean Craig Jetden the teh rugrats thingy,z13iwtlwbxujh1krh04ccf5r3z2jhh25p40
-AmKP9VE2Ms,this is the best ad EVER of coca colaï»¿,1 month ago,Mariam Hussein,z13octcylya1c5mbh04chbdrrwfrhzgqy3g
-AmKP9VE2Ms,WzruszajÄ…ce nawet :')ï»¿,1 month ago,Aleksandra Anna Bujnicka,z12jh3wqalb1czd3m22zifxy1m3kzly5k04
-AmKP9VE2Ms,Are you kidding me? All these people are physically fit; coke isn't a part of any of their diets realistically.ï»¿,1 month ago,Dividy Bividy (Fividy),z12ivlc4bkyyehn4m04cjb15kxvewtkqz0k
-AmKP9VE2Ms,LMAO! true!!ï»¿,1 month ago,Alonzo Lombardi,z12ivlc4bkyyehn4m04cjb15kxvewtkqz0k.1472218646932214
-AmKP9VE2Ms,"dude I drink at least 3 glasses of coke everyday for about 6 years now and my BMI is perfect... It's not just coke that makes you fat, you need to absorb a lot moreï»¿",1 month ago,Midas,z12ivlc4bkyyehn4m04cjb15kxvewtkqz0k.1472572911786575
-AmKP9VE2Ms,LOL so true !!ï»¿,1 month ago,Amine CH,z12ivlc4bkyyehn4m04cjb15kxvewtkqz0k.1473194180263582
-AmKP9VE2Ms,This is called marketing.ï»¿,1 week ago,EA,z12ivlc4bkyyehn4m04cjb15kxvewtkqz0k.1474724265693842
-AmKP9VE2Ms,+EA No shit?   (That's  called sarcasm.) ï»¿,1 week ago,Dividy Bividy (Fividy),z12ivlc4bkyyehn4m04cjb15kxvewtkqz0k.1474725545753440
-AmKP9VE2Ms,I would love it if NCT127's version should up in one of your comercials_Ÿ˜„_Ÿ˜…_Ÿ˜è_Ÿ˜‰ï»¿,1 month ago,Theâ€¢Skys Musicalâ€¢Echo,z12cgpziuqqcyvmdb234utfbvva4sz2fl
-AmKP9VE2Ms,it did on my tv i was like omfgï»¿,1 month ago,Sungjoonssi,z12cgpziuqqcyvmdb234utfbvva4sz2fl.1471714917442905
-AmKP9VE2Ms,amo este comercialï»¿,1 month ago,juan jose dominguez,z13asn1hcpzshbhkf22pf12p2m3wi512e
-AmKP9VE2Ms,Why is itÂ I'm never represented in these ads? You don't hear me complaining.ï»¿,1 month ago,Monty_Magic,z12vy3qz1nq1fxrli22zvtjo0pyjsjqd5
-AmKP9VE2Ms,0:31 who is?? What is him name?? Pleas help??ï»¿,1 month ago,Derya _,z12ptl3pxzzvsrcye04cfrt5pnf4hdfacdw
-AmKP9VE2Ms,Put NCT 127 on TV in America I don't like dis one ); sad winkeu I want NCT 127 buddyï»¿,1 month ago,Min HaeChan,z120ux2rbm3fzljin04chnaa4ry0jhc4re0
-AmKP9VE2Ms,coca cola is always give meaning of life in their tvc's that's why i love coca colaï»¿,1 month ago,Remus Cain Villanueva,z12oyfjy2ujmtbisw220dfgattfetfsel
-AmKP9VE2Ms,Just about perfectï»¿,1 month ago,CanisLupusSeesUs,z13ky1wphpbzwlqic04cgf542wmdurozbg0
-AmKP9VE2Ms,I love this commercial <3 I love that song!! I love coca - cola <3ï»¿,1 month ago,Valentine Tseliou,z12gt1prjtzkjdw0122qhpkaapidd5kxc04
-AmKP9VE2Ms,"I love Coca-Cola ! Finish a bottle of Coca-Cola and everything is fine !!!!!!  "" Coca-Cola with EVERYTHING ""ï»¿",2 months ago,Saraf Nawar Joyeta,z13sc1gjdsf2gribp04cdnvyloyhfdjycak
-AmKP9VE2Ms,Thanks you colaï»¿,2 months ago,Julien Wolter,z125wtdggvr1xbdct220srdphs3hhhmx304
-AmKP9VE2Ms,I just love the positivity in the Coca Cola commercialsï»¿,2 months ago,The one,z13vdzzxxzqvzpsar04ccna43tqkhpkqypo0k
-AmKP9VE2Ms,"Coca Cola, can you please put NCT Taste the Feeling Coca Cola song on tv? Thanksï»¿",2 months ago,The one,z12rvjz5tvn4vt2iz04ccna43tqkhpkqypo0k
-AmKP9VE2Ms,NCT 127's was betterï»¿,2 months ago,arohaoakley,z130f50bbu21xxip104ccjpb2vnezn3gjbg
-AmKP9VE2Ms,Who is the singer of this song?ï»¿,2 months ago,Jaela Lim,z12zubhg3kylspki104cjhnxtyfsv5fgxrw0k
-AmKP9VE2Ms,Seriously u guys have to go watch the better one by NCT 127ï»¿,2 months ago,Cheryl Ong,z131vd1jsqilyhobp04cd5gwstqjtdkxur40k
-AmKP9VE2Ms,NCT 127!!!!!ï»¿,2 months ago,ChoKyu Min,z12adnlxlsvpt3dhw04cg5mattauilvjmd0
-AmKP9VE2Ms,nct 127's version was betterï»¿,2 months ago,Jamless Fangirl,z13at33rzuufzhnnp23yv3czzxzvyrevd
-AmKP9VE2Ms,ikrï»¿,2 months ago,mrc.jsh.lmgrx _,z13at33rzuufzhnnp23yv3czzxzvyrevd.1470475295971552
-AmKP9VE2Ms,ayyyye 4 real when I heard a commercial I started singing NCT then I heard eng and I was liek dafugï»¿,1 month ago,Min HaeChan,z13at33rzuufzhnnp23yv3czzxzvyrevd.1471145795416722
-AmKP9VE2Ms,^ meï»¿,1 month ago,Bts Suga,z13at33rzuufzhnnp23yv3czzxzvyrevd.1472413247725797
-AmKP9VE2Ms,Honestly I'd like to hear a full-length version of THIS version of the song and not the country western full-length version. Make it happen Coke!  ;)ï»¿,2 months ago (edited),seanmandence,z13hjfyxrwmoyxwuq22egrn5dyzzuderu04
-AmKP9VE2Ms,listen 2 the NCT 127 full verï»¿,1 month ago,Min HaeChan,z13hjfyxrwmoyxwuq22egrn5dyzzuderu04.1471146171286495
-AmKP9VE2Ms,Wonderful song! Keep making these good ads and commercials!ï»¿,2 months ago,Ani7,z123ujzjczrsupvlr22mybvbfnuuuvzi004
-AmKP9VE2Ms,WOODSTOCK!!! :Dï»¿,2 months ago,Matt Stark,z12uvnqbcnq2wlcdy22njveygpezzfnil04
-AmKP9VE2Ms,coca cola is the best refreshness and best commercial :)ï»¿,2 months ago,Dampil Lhagvaatseren,z13yilggdrzkdn2g004ci5zrgozavjzortk0k
-AmKP9VE2Ms,Como se llama la cansion???ï»¿,2 months ago,Elliot Becerra,z13byptiiziag15o404celhourz1t11r5rg0k
-AmKP9VE2Ms,I don't know what it is about Coca Cola but you always seem to have such amazing advertizements :3ï»¿,2 months ago,Arcticaz,z13yclay5patth5dk230stvqiqqcg5jkt
-AmKP9VE2Ms,omg I love Coca-Cola ads they're so inspirational they make u love ur lifeâù_ï»¿,2 months ago,Anas Shwike,z13hwd44xoufh1xvq22wvlhb5xrmipoap04
-AmKP9VE2Ms,one of them looks like Harry stylesï»¿,2 months ago,Bianca Serna,z13gjnji4oyjzd5fn22if54gvym2cxk3l
-AmKP9VE2Ms,So funny coco cola thanks a lotï»¿,2 months ago,Mohammed Abukar,z132jxdprqqxs1qja04cefkqeymfytzxfuw0k
-AmKP9VE2Ms,Can you please upload the Euro 2016 Coca-Cola Taste the feeling advertise? I mean specifically that one. This ad comes closest but I have been blown away by that ad and I want to download itï»¿,2 months ago,balkrishna karki,z12mur5a5luqcle5z04cjtmx5oztsjzbgsk0k
-AmKP9VE2Ms,"I love the song, cool and inspiring..... Keep it up,!ï»¿",2 months ago,Ayorinde Gbenga,z12bu5qj3susxvlem233ttzyvtubi1ttp
-AmKP9VE2Ms,ìù´ ë…¸ë_˜ ì¡°íù â™¥â™¥â™¥ï»¿,2 months ago,ë°•ìœ ì„ ,z12nt5navrygcfzgh04cg1yhslblzn4rn3w
-AmKP9VE2Ms,Oh NCT 127 jk but is dat what u meant I'm still learning Korean so eh ); sad winkeuï»¿,1 month ago,Min HaeChan,z12nt5navrygcfzgh04cg1yhslblzn4rn3w.1471146045917428
-AmKP9VE2Ms,"Thank you for such a beautiful advertisement,Im just new to videography and your ads are my inspiration.ï»¿",2 months ago,Aloha C Bautista,z12gf5fpeoe1ezhsg22dd1mbkyqhxf0cq
-AmKP9VE2Ms,Esta version esta genial! Deberian sacar toda la cancion asi_Ÿ‘çï»¿,2 months ago,Raul King Miranda,z12yxdmoxu2byxlek22zsjczate1v5ek1
-AmKP9VE2Ms,what's the song?ï»¿,2 months ago,Anas Shwike,z12xsr2jfzrfy321q22wvlhb5xrmipoap04
-AmKP9VE2Ms,"Hi Anas. This is an original song, ""Taste the Feeling"" featuring Conrad Sewell. Thanks for your interest!ï»¿",2 months ago,Coca-Cola,z12xsr2jfzrfy321q22wvlhb5xrmipoap04.1467933511141357
-AmKP9VE2Ms,"Fuera hermoso que saquen una versiÃ_n extendida de esta mÃºsica, en mi opiniÃ_n es la mejor versiÃ_n que he escuchado de ""Taste he feeling"" hay mÃ¡s emociÃ_n en ella.ï»¿",2 months ago,Gerson Salazar VÃ¡squez,z12xsr2jfzrfy321q22wvlhb5xrmipoap04.1468556958438966
-AmKP9VE2Ms,Darude - Sandstormï»¿,2 months ago,Abdulrahman Khan,z12xsr2jfzrfy321q22wvlhb5xrmipoap04.1469973645913179
-AmKP9VE2Ms,Tatse the feeling by Aviciiï»¿,2 weeks ago,Zoozy G,z12xsr2jfzrfy321q22wvlhb5xrmipoap04.1474536843285724
-AmKP9VE2Ms,+Zoozy G thank youï»¿,1 week ago,Keyunna Kelley,z12xsr2jfzrfy321q22wvlhb5xrmipoap04.1474667234720403
-AmKP9VE2Ms,+Zoozy G does that song have a version to itï»¿,1 week ago,Keyunna Kelley,z12xsr2jfzrfy321q22wvlhb5xrmipoap04.1474667451382839
-AmKP9VE2Ms,nct 127 taste the feel ingï»¿,5 days ago,ìµœì£_ì˜Å,z12xsr2jfzrfy321q22wvlhb5xrmipoap04.1475246354713677
-AmKP9VE2Ms,:') wonderful!ï»¿,3 months ago,Chuy Garza,z12uy1ypwob5ctqf323ufjuzxtn4xlyzg04
-AmKP9VE2Ms,como se llama la canciÃ_n  y artistaï»¿,3 months ago,Lucila Pardo,z13evzlq3rbwfvy5s04cfb5gjnyrd1abedg
-AmKP9VE2Ms,You know that an advertisement is amazing when you really hate Coke but you want to drink it because of this ad! So positive and amazing I love it!ï»¿,3 months ago,Sophia //:,z125v54ansuyfl5qs04cjhkwxyjli5upgz00k
-AmKP9VE2Ms,you make me miss my true love anytime I see this ad. It describes our lifeï»¿,3 months ago,Komla Vigbedorh,z12bwnrbpkvnh34xa04ccdixvmr0udlqvs00k
-AmKP9VE2Ms,"Thank you Coca Cola for such a positive advertisement, please continue to keep love, sharing and refreshment as centre message for ads in coming years.ï»¿",3 months ago,Sunil Mandava,z13ntx4wcu3yvj1z404chtvj5y3guj2bn04
-AmKP9VE2Ms,"Thank you, Sunil, for being a fan of our ads! We continuously seek consumers' feedback as we strive to keep our ads exciting and relevant, so we appreciate your comments and will be sure to share them with our management.ï»¿",3 months ago,Coca-Cola,z13ntx4wcu3yvj1z404chtvj5y3guj2bn04.1467380767198207
-AmKP9VE2Ms,+Coca-Cola huï»¿,2 months ago,lourdes sosa,z13ntx4wcu3yvj1z404chtvj5y3guj2bn04.1469708333505896
-AmKP9VE2Ms,+Coca-Cola you have done alot of things. But no one of them are negative. I have drinked alot juices and 7ups but i never taste some one better than CocaCoola. Even if pepsi and 7up and coca coola have the sam taste but yours are diffrent. Theres love inside your productions. Thank you! â™¥â™¥ï»¿,1 month ago,Mariam Hussein,z13ntx4wcu3yvj1z404chtvj5y3guj2bn04.1471521509551737
-AmKP9VE2Ms,+Mariam Hussein 5ï»¿,1 month ago,arben Kaliqi,z13ntx4wcu3yvj1z404chtvj5y3guj2bn04.1472059106590896
-AmKP9VE2Ms,helloï»¿,3 months ago,PhÃ_ng Quá»‘c HoÃ n,z12uz1fbbrmfs1u4b04chjuzhmyqenjzgkw0k
-AmKP9VE2Ms,me encantaï»¿,3 months ago,Anton Sans Alvarez,z13cyvwojt3pcrslg22vsbix3nj4s5yye04
-AmKP9VE2Ms,this commercial gives me sometype of happiness :-)ï»¿,3 months ago,The.Green.Day.Idiot,z12hiz4oqsirufyph04cdhuxim3xyv4bhuc0k
-AmKP9VE2Ms,"Hola amigos de Coca Cola, oigan me gustarÃ_a saber que versiÃ_n de esta canciÃ_n es la que se reproduce en los comerciales de CinÃ©polis xfa, saludos.ï»¿",3 months ago,Jonathan Abdi Posadas RamÃ_rez,z13pfzkywzjgipkwi04cfrirermwz5o5ypc0k
-AmKP9VE2Ms,Why so many dislikes?ï»¿,3 months ago,Feyza,z13wx3sialaxurjrj04chz2hmpz1eteg2qs0k
-AmKP9VE2Ms,Because of many critical consumers.ï»¿,2 months ago,Bandulu Bambule,z13wx3sialaxurjrj04chz2hmpz1eteg2qs0k.1468520796966096
